;Navn:;a;;Check for duplicates:;;a;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Emne;Tema;Gr. ;Uke nr. ;Dato;Dag;Tid;Tidspunkt;Foreleser;Rom;Undervisningsform;Kommentarer;Oppgaver/innleveringer;Helper1 (Date + Time + Name);Helper2 (Date + Time + Room);Helper1 Instance;Helper2 Instance;Check for Duplicates
;G2-KRO1300;Håndball;;3;15.jan;mandag;1;08:15-09:45;Eivind Andersen;Idrettshall;Praktisk;;;4311508:15-09:45Eivind Andersen;4311508:15-09:45Idrettshall;1;1;1
;BI-BAO3000;Økt 3;;3;15.jan;mandag;f;08:15-11:45;Markus Vagle;;Teori;Dobbelbook meg her - vi fordeler innad;;4311508:15-11:45Markus Vagle;4311508:15-11:45;2;2;2
;BI-IDR1301;Anatomi;;3;15.jan;mandag;f;08:15-11:45;Markus Vagle;;Teori;;;4311508:15-11:45Markus Vagle;4311508:15-11:45;2;2;2
;G1-KRO1100;Dans;;3;15.jan;mandag;2;10:15-11:45;???;Dansesal;Praktisk;;;4311510:15-11:45???;4311510:15-11:45Dansesal;1;1;1
;G2-KRO1300;Innebandy;;3;15.jan;mandag;2;10:15-11:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4311510:15-11:45Fredrik Lie Haugen;4311510:15-11:45Idrettshall;1;1;1
;BI-IDR1401;Innebandy;B;3;15.jan;mandag;3;12:15-13:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4311512:15-13:45Fredrik Lie Haugen;4311512:15-13:45Idrettshall;1;1;1
;G1-KRO1200;Teori KRØ;;3;15.jan;mandag;e;12:15-15:45;Simen Thorrud;;Teori;;;4311512:15-15:45Simen Thorrud;4311512:15-15:45;1;1;1
;BI-IDR1401;Innebandy;A;3;15.jan;mandag;4;14:15-15:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4311514:15-15:45Fredrik Lie Haugen;4311514:15-15:45Idrettshall;1;1;1
;BI-IDR1301;Kollokvie;B;3;16.jan;tirsdag;1;08:15-09:45;Markus Vagle;;Teori;;;4311608:15-09:45Markus Vagle;4311608:15-09:45;1;1;1
;BI-IDR1401;Dans;A;3;16.jan;tirsdag;1;08:15-09:45;???;Dansesal;Praktisk;;;4311608:15-09:45???;4311608:15-09:45Dansesal;1;1;1
;G1-KRO1200;Teori KRØ;;3;16.jan;tirsdag;f;08:15-11:45;Markus Johansen Aasland;;Teori;;;4311608:15-11:45Markus Johansen Aasland;4311608:15-11:45;1;2;2
;G2-KRO1300;Teori KRØ;;3;16.jan;tirsdag;f;08:15-11:45;???;;Teori;;;4311608:15-11:45???;4311608:15-11:45;1;2;2
;BI-IDR1301;Kollokvie;A;3;16.jan;tirsdag;2;10:15-11:45;Markus Vagle;;Teori;;;4311610:15-11:45Markus Vagle;4311610:15-11:45;1;1;1
;BI-IDR1401;Dans;B;3;16.jan;tirsdag;2;10:15-11:45;???;Dansesal;Praktisk;;;4311610:15-11:45???;4311610:15-11:45Dansesal;1;1;1
;BI-IDR1401;Skøyter;A;3;16.jan;tirsdag;3;12:15-13:45;???;Ute;Praktisk;;;4311612:15-13:45???;4311612:15-13:45Ute;1;1;1
;G1-KRO1100;Didaktikk teori;;3;16.jan;tirsdag;3;12:15-13:45;Markus Johansen Aasland;;Teori;;;4311612:15-13:45Markus Johansen Aasland;4311612:15-13:45;1;1;1
;G2-KRO1300;Håndball;;3;16.jan;tirsdag;3;12:15-13:45;Eivind Andersen;Idrettshall;Praktisk;;;4311612:15-13:45Eivind Andersen;4311612:15-13:45Idrettshall;1;1;1
;BI-FAH2300;Økt 2;;3;16.jan;tirsdag;e;12:15-15:45;Anne Sæther;;Teori;;;4311612:15-15:45Anne Sæther;4311612:15-15:45;1;1;1
;BI-IDR1401;Skøyter;B;3;16.jan;tirsdag;4;14:15-15:45;???;Ute;Praktisk;;;4311614:15-15:45???;4311614:15-15:45Ute;1;1;1
;G1-KRO1100;Håndball;;3;16.jan;tirsdag;4;14:15-15:45;Eivind Andersen;Idrettshall;Praktisk;;;4311614:15-15:45Eivind Andersen;4311614:15-15:45Idrettshall;1;1;1
;G1-KRO1100;Svømming;;3;17.jan;onsdag;1;08:15-09:45;Simen Thorrud;Svømmehall;Praktisk;;;4311708:15-09:45Simen Thorrud;4311708:15-09:45Svømmehall;1;1;1
;G2-KRO1400;Teori KRØ;;3;17.jan;onsdag;f;08:15-11:45;???;;Teori;;;4311708:15-11:45???;4311708:15-11:45;1;1;1
;BI-IDR1401;Svømming;1;3;17.jan;onsdag;2;10:15-11:45;Anne Sæther;Svømmehall;Praktisk;;;4311710:15-11:45Anne Sæther;4311710:15-11:45Svømmehall;1;1;1
;G1-KRO1100;Dans;;3;17.jan;onsdag;2;10:15-11:45;???;Dansesal;Praktisk;;;4311710:15-11:45???;4311710:15-11:45Dansesal;1;1;1
;BI-IDR1401;Svømming;2;3;17.jan;onsdag;3;12:15-13:45;Anne Sæther;Svømmehall;Praktisk;;;4311712:15-13:45Anne Sæther;4311712:15-13:45Svømmehall;1;1;1
;G2-KRO1300;Studentinstruksjon;;3;17.jan;onsdag;3;12:15-13:45;???;Idrettshall;Praktisk;;;4311712:15-13:45???;4311712:15-13:45Idrettshall;1;1;1
;BI-IDR1401;Svømming;3;3;18.jan;torsdag;1;08:15-09:45;Anne Sæther;Svømmehall;Praktisk;;;4311808:15-09:45Anne Sæther;4311808:15-09:45Svømmehall;1;1;1
;BI-BAO3000;Økt 4;;3;18.jan;torsdag;f;08:15-11:45;Fredrik Lie Haugen;;Teori;;;4311808:15-11:45Fredrik Lie Haugen;4311808:15-11:45;1;2;2
;MG1KR2;Teori KRØ;;3;18.jan;torsdag;F;08:15-11:45;Heidi Lindsverk;;Teori;;;4311808:15-11:45Heidi Lindsverk;4311808:15-11:45;1;2;2
;BI-IDR1301;Anatomi;;3;18.jan;torsdag;2;10:15-11:45;Markus Vagle;;Teori;;;4311810:15-11:45Markus Vagle;4311810:15-11:45;1;2;2
;MG2KR2;Teori KRØ;;3;18.jan;torsdag;2;10:15-11:45;Erlend Ellefsen Vinje;;Teori;;;4311810:15-11:45Erlend Ellefsen Vinje;4311810:15-11:45;1;2;2
;BI-IDR1301;Anatomi;;3;18.jan;torsdag;3;12:15-13:45;Markus Vagle;;Teori;;;4311812:15-13:45Markus Vagle;4311812:15-13:45;1;1;1
;MG2KR2;Skolerettet tvekamp;;3;18.jan;torsdag;3;12:15-13:45;Erlend Ellefsen Vinje;Dansesal;;;;4311812:15-13:45Erlend Ellefsen Vinje;4311812:15-13:45Dansesal;1;1;1
;MG1KR2;Gj.gang før praksis;;3;19.jan;fredag;1;08:15-09:45;Markus Johansen Aasland;;Teori;;;4311908:15-09:45Markus Johansen Aasland;4311908:15-09:45;1;1;1
;MG2KR2;Lek og sans;;3;19.jan;fredag;1;08:15-09:45;Heidi Lindsverk;Idrettshall;;;;4311908:15-09:45Heidi Lindsverk;4311908:15-09:45Idrettshall;1;1;1
;MG1KR2;Lek, akt. Og natur;;3;19.jan;fredag;2;10:15-11:45;Markus Johansen Aasland;Idrettshall;Praktisk;;;4311910:15-11:45Markus Johansen Aasland;4311910:15-11:45Idrettshall;1;1;1
;MG2KR2;Skolerettet tvekamp;;3;19.jan;fredag;2;10:15-11:45;Erlend Ellefsen Vinje;Dansesal;;;;4311910:15-11:45Erlend Ellefsen Vinje;4311910:15-11:45Dansesal;1;1;1
;BI-IDR1401;Innebandy;A;4;22.jan;mandag;1;08:15-09:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4312208:15-09:45Fredrik Lie Haugen;4312208:15-09:45Idrettshall;1;1;1
;BI-IDR1401;Dans;B;4;22.jan;mandag;1;08:15-09:45;???;Dansesal;Praktisk;;;4312208:15-09:45???;4312208:15-09:45Dansesal;1;1;1
;BI-BAO3000;Økt 5;;4;22.jan;mandag;f;08:15-11:45;Markus Vagle;;Teori;;;4312208:15-11:45Markus Vagle;4312208:15-11:45;1;2;2
;G2-KRO1400;Teori KRØ;;4;22.jan;mandag;f;08:15-11:45;???;;Teori;;;4312208:15-11:45???;4312208:15-11:45;1;2;2
;BI-IDR1401;Innebandy;B;4;22.jan;mandag;2;10:15-11:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4312210:15-11:45Fredrik Lie Haugen;4312210:15-11:45Idrettshall;1;1;1
;BI-IDR1401;Dans;A;4;22.jan;mandag;2;10:15-11:45;???;Dansesal;Praktisk;;;4312210:15-11:45???;4312210:15-11:45Dansesal;1;1;1
;G1-KRO1200;Teori KRØ;;4;22.jan;mandag;2;10:15-11:45;Markus Johansen Aasland;;Teori;;;4312210:15-11:45Markus Johansen Aasland;4312210:15-11:45;1;1;1
;BI-IDR1301;Kollokvie;;4;22.jan;mandag;3;12:15-13:45;Markus Vagle;;Teori;;;4312212:15-13:45Markus Vagle;4312212:15-13:45;1;1;1
;G1-KRO1100;Dans;;4;22.jan;mandag;3;12:15-13:45;???;Dansesal;Praktisk;;;4312212:15-13:45???;4312212:15-13:45Dansesal;1;1;1
;G2-KRO1300;Innebandy;;4;22.jan;mandag;3;12:15-13:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4312212:15-13:45Fredrik Lie Haugen;4312212:15-13:45Idrettshall;1;1;1
;G1-KRO1100;Svømming;;4;22.jan;mandag;4;14:15-15:45;Simen Thorrud;Svømmehall;Praktisk;;;4312214:15-15:45Simen Thorrud;4312214:15-15:45Svømmehall;1;1;1
;G2-KRO1300;Håndball;;4;22.jan;mandag;4;14:15-15:45;Eivind Andersen;Idrettshall;Praktisk;;;4312214:15-15:45Eivind Andersen;4312214:15-15:45Idrettshall;1;1;1
;MG1KR2;Praksis uke 4-7;;4;22.jan;mandag;5;Hele dagen;;;;PRAKSIS UTENFOR CAMPS ALLE DAGER UKE 4 - 7;;43122Hele dagen;43122Hele dagen;2;2;2
;MG2KR2;Praksis uke 4-7;;4;22.jan;mandag;5;Hele dagen;;;;PRAKSIS UTENFOR CAMPS ALLE DAGER UKE 4 - 7;;43122Hele dagen;43122Hele dagen;2;2;2
;G1-KRO1100;Håndball;;4;23.jan;tirsdag;1;08:15-09:45;Eivind Andersen;Idrettshall;Praktisk;;;4312308:15-09:45Eivind Andersen;4312308:15-09:45Idrettshall;1;1;1
;BI-IDR1301;Anatomi;;4;23.jan;tirsdag;f;08:15-11:45;Markus Vagle;;Teori;;;4312308:15-11:45Markus Vagle;4312308:15-11:45;1;1;1
;G1-KRO1100;Didaktikk teori;;4;23.jan;tirsdag;2;10:15-11:45;Markus Johansen Aasland;;Teori;;;4312310:15-11:45Markus Johansen Aasland;4312310:15-11:45;1;1;1
;BI-IDR1401;Lek og sans;A;4;23.jan;tirsdag;3;12:15-13:45;???;Idrettshall;Praktisk;;;4312312:15-13:45???;4312312:15-13:45Idrettshall;2;1;2
;BI-IDR1401;Dans;B;4;23.jan;tirsdag;3;12:15-13:45;???;Dansesal;Praktisk;;;4312312:15-13:45???;4312312:15-13:45Dansesal;2;1;2
;G1-KRO1200;Teori KRØ;;4;23.jan;tirsdag;3;12:15-13:45;Markus Johansen Aasland;;Teori;;;4312312:15-13:45Markus Johansen Aasland;4312312:15-13:45;;;
;BI-FAH2300;Økt 3;;4;23.jan;tirsdag;e;12:15-15:45;Anne Sæther;;Teori;;;4312312:15-15:45Anne Sæther;4312312:15-15:45;;;
;BI-IDR1401;Lek og sans;B;4;23.jan;tirsdag;4;14:15-15:45;???;Idrettshall;Praktisk;;;4312314:15-15:45???;4312314:15-15:45Idrettshall;2;1;2
;BI-IDR1401;Dans;A;4;23.jan;tirsdag;4;14:15-15:45;???;Dansesal;Praktisk;;;4312314:15-15:45???;4312314:15-15:45Dansesal;2;1;2
;BI-IDR1401;Innebandy;A;4;24.jan;onsdag;1;08:15-09:45;Fredrik Lie Haugen;Idrettshall;Praktisk;;;4312408:15-09:45Fredrik Lie Haugen;4312408:15-09:45Idrettshall;1;1;1
;BI-IDR1401;Dans;B;4;24.jan;onsdag;1;08:15-09:45;???;Dansesal;Praktisk;;;4312408:15-09:45???;4312408:15-09:45Dansesal;1;1;1
;G1-KRO1100;Svømming;;4;24.jan;onsdag;1;08:15-09:45;Simen Thorrud;Svømmehall;Praktisk;;;4312408:15-09:45Simen Thorrud;4312408:15-09:45Svømmehall;1;1;1
;G2-KRO1400;Teori KRØ;;4;24.jan;onsdag;f;08:15-11:45;???;;Teori;;;4312408:15-11:45???;4312408:15-11:45;1;1;1
;BI-IDR1401;Svømming;2;4;24.jan;onsdag;2;10:15-11:45;Anne Sæther;Svømmehall;Praktisk;;;4312410:15-11:45Anne Sæther;4312410:15-11:45Svømmehall;1;1;1
;G1-KRO1100;Dans;;4;24.jan;onsdag;2;10:15-11:45;???;Dansesal;Praktisk;;;4312410:15-11:45???;4312410:15-11:45Dansesal;1;1;1
;BI-IDR1401;Svømming;1;4;24.jan;onsdag;3;12:15-13:45;Anne Sæther;Svømmehall;Praktisk;;;4312412:15-13:45Anne Sæther;4312412:15-13:45Svømmehall;1;1;1
;G2-KRO1300;Studentinstruksjon;;4;24.jan;onsdag;3;12:15-13:45;???;Idrettshall;Praktisk;;;4312412:15-13:45???;4312412:15-13:45Idrettshall;1;1;1
;BI-IDR1401;Svømming;3;4;25.jan;torsdag;1;08:15-09:45;Anne Sæther;Svømmehall;Praktisk;;;4312508:15-09:45Anne Sæther;4312508:15-09:45Svømmehall;1;1;1
